Title,Salary,Job Type,Job Location,Functional Area,Career Level,Apply Before,Minimum Experience,Minimum Education,Gender,Age,Skills,salary_pkr,city,experience_years
Order Fulfillment Manager,"PKR. 30,000 - 60,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Retail,Experienced Professional,3-Jan-25,2 Years,Intermediate/A-Level,Male,,"Team Building, Order Tracking, Order Processing, Order Management",45000.0,Lahore,2.0
Enterprise Business Development Manager,,Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,19-Jan-25,3 Years,,No Preference,,"Relationship Building, Sales Acumen, Market Research, Negotiation Skills, Communication Skills, Leadership, Problem Solving, Lead Generation Tools, CRM software proficiency, Salesforce",,Lahore,3.0
Video Editor,"PKR. 30,000 - 30,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",,,19-Jan-25,1 Year,,No Preference,,Video Editor,30000.0,Karachi,1.0
Branch in Charge (Patokki),"PKR. 60,000 - 60,000/Month",Full Time/Permanent,"Patoki,
                                                                                                                                                                                                                                                                                            Pakistan",,,19-Jan-25,3 Years,,No Preference,,"Customer Service, Problem Solving, Communication, Time Management, Customer Relationship Management",60000.0,Patoki,3.0
Senior PHP Developer,,Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,19-Jan-25,3 Years,,No Preference,,"PHP, MySQL, Javascript, Laravel, HTML, CSS, Git, RESTful Api, Responsive Design, CSS3, React JS",,Lahore,3.0
Php,"PKR. 85,000 - 85,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,19-Jan-25,2 Years,,No Preference,,"PHP, MySQL",85000.0,Lahore,2.0
Laravel,"PKR. 100,000 - 100,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",,,19-Jan-25,4 Years,,No Preference,,Laravel Framework,100000.0,Karachi,4.0
HR Executive,,Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",,,19-Jan-25,2 Years,,No Preference,,"Communication, Conflict Resolution, Recruitment, Employee Relations, Organizational Skills, Performance Management, Policy Development, HRIS Software, Training and Development, HRIS (Human Resource Information System), Applicant Tracking System (ATS), Employee Onboarding Software, Performance management software, Training Needs Analysis",,Karachi,2.0
Operations Manager,"PKR. 100,000 - 150,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,18-Jan-25,,Bachelors,No Preference,,"Team Management Skills, Leadership Skills, Communication Skills",125000.0,Karachi,
Customer Sales Representative,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,18-Jan-25,,Matriculation/O-Level,No Preference,18 - 25 Years,"Fluent in English, Coordination Skills, Communication Skills",35000.0,Lahore,
